,Date,User,Tweet
52,2019-09-10 16:20:06+00:00,todaynewsafrica,‘This should not be happening in the South Africa Mandela dreamt of’ –  UN denounces xenophobic attacks @UN_Spokesperson @UN_News_Centre @UNDP @UNHumanRights @antonioguterres #XenophobicAttacks #Xenophia https://t.co/Uh3Vj2LWzO via @todaynewsafrica
53,2019-09-10 11:33:55+00:00,iAm_Fauzuddeen,"This is my candid opinion on #XenophobiaInSouthAfrica.
 We all must unite in unapologetically condemning #xenophia and unanimously #SayNoToXenophobia 

Cc @realFFK 
@StartupZamfara @masudu__ 
@BashirAhmaad @MBuhari @PresidencyZA @CyrilRamaphosa @daily_trust @arewacycle @Mzmayana1 https://t.co/XcFtXG7usH"
54,2019-09-09 16:54:44+00:00,JoyMareme,"What #SouthAfricans are doing currently is an embarrassment to humanity,in fact to us black people.
#XenophobicAttack 
#XenophobiaInSouthAfrica 
#xenophia"
55,2019-09-09 07:47:34+00:00,magmal11,"See the hate messages going round now in S/Africa🇿🇦 now😭😭😭. May ALLAH take control of everything. 
#XenophobiaSouthAfrica 
#XenophobicAttack 
#XenophobiaAttack 
#xenophia 
@UN @Refugees @AfricanUnionUN @MYANC @GovernmentZA @AfricanUnionUS 
@CyrilRamaphosa 👇👇👇"
56,2019-09-08 22:42:36+00:00,shina_adam,Africa suffer suffer #Xenophia #AU https://t.co/0clN8yEO9o
57,2019-09-08 21:08:01+00:00,Patlups,"This has been going on under the leadership of ANC and clearly it's not a priority to fix. Arrest all drug dealers irrespective of nationality, arrest all illegal immigrants and deport them. Don't watch innocent people killed coz they foreigners. #Mzansi #SouthAfrica #Xenophia https://t.co/azH9Tqz56T"
58,2019-09-08 09:44:29+00:00,todaynewsafrica,South Africa should stop justifying xenophobic attacks – Opinion by Femi Falana @SERAPNigeria @UNHumanRights @amnesty @CyrilRamaphosa #xenophobiaattacks #xenophia https://t.co/r0zGkXhBH7 via @todaynewsafrica
59,2019-09-06 05:30:25+00:00,MrMatok,"https://t.co/2tfnMRmHq9
#XenophobicAttack #FridayMotivation #FridayThoughts #Xenophia #BBNaija #Bbnaija2019 #Sex4Grades #RIPMugabe #LettersfromMoe #USOpen #ReekadoRora Robert Mugabe, Nicki, Bencic, Serena Williams, Svitolina, Rest In Peace, Bianca, Post Malone, Cardi B, Muslim"
60,2019-09-06 05:19:58+00:00,MrMatok,"https://t.co/cPu5f3B3Y8
#XenophobicAttack #FridayMotivation #FridayThoughts #Xenophia #BBNaija #Bbnaija2019 #Sex4Grades #LettersfromMoe #USOpen #ReekadoRora Robert Mugabe, Nicki, Bencic, Serena Williams, Enigma, Svitolina, Legends, Bianca, Post Malone, Cardi B, Biggie, Muslim"
61,2019-09-05 17:54:18+00:00,abdoudia_dia,"Rep @KarenBassTweets reacting to xenophobic attacks in #SouthAfrica, saying she is ""extremely concerned by the increased violence and retaliatory attacks against citizens"" in both countries"" #Nigeria #xenophia 
https://t.co/YDhb41REYm"
62,2019-09-05 13:59:59+00:00,AbdoolAmood,"Some people don't even know what is happening and they are busy destroying shoprite, I asked one tout.... Oga what is happening.. The guy said they killed Xenophobia an igbo guy in South Africa 🤣🤣🤣🤣🤣🤣am still looking for where to faint.. 😀#Xenophia"
